EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Bank of Montreal,2016,National,Canada,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,124,83,41,2,1,1,2,1,1,38,28,10
Bank of Montreal,2017,National,Canada,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,Full-Time,17,7,10,2,1,1,1,,1,9,4,5
Bank of Montreal,2017,Provincial,Manitoba,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,1,,1,,,,,,,,,
Bank of Montreal,2018,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,7,7,,,,,,,,4,4,
Bank of Montreal,2010,Provincial,Ontario,,,Overall,Part-Time,336,85,251,7,,7,7,2,5,105,38,67
Bank of Montreal,2014,Provincial,Qu�bec,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,174,90,84,,,,1,,1,27,12,15
Bank of Montreal,2014,Provincial,Qu�bec,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,120,48,72,1,,1,2,,2,11,3,8
Bank of Montreal,2016,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,2,,2,,,,,,,,,
Bank of Montreal,2017,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Professionals,Full-Time,11,7,4,,,,,,,3,1,2
Bank of Montreal,2011,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,5,1,4,,,,,,,,,
Bank of Montreal,2012,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,30,12,18,1,,1,,,,13,6,7
Bank of Montreal,2012,Provincial,Alberta,,,Overall,Part-Time,151,23,128,1,,1,4,,4,25,5,20
Bank of Montreal,2017,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,3,2,1,,,,,,,,,
Bank of Montreal,2017,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,40,24,16,1,1,,,,,15,9,6
Bank of Montreal,2013,Provincial,New Brunswick,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,4,2,2,,,,,,,,,
Bank of Montreal,2015,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,3,1,2,,,,,,,1,1,
Bank of Montreal,2018,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,17,9,8,1,,1,,,,11,6,5
Bank of Montreal,2019,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,4,2,2,,,,,,,1,,1
Bank of Montreal,2019,Provincial,British Columbia,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,57,29,28,3,1,2,2,1,1,27,15,12
Bank of Montreal,2010,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,467,293,174,3,2,1,4,3,1,157,107,50
Bank of Montreal,2010,Provincial,Qu�bec,5221,Depository Credit Intermediation,Senior Managers,Full-Time,1,1,,,,,,,,,,
Bank of Montreal,2016,Provincial,Qu�bec,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,5,1,4,,,,,,,1,,1
Bank of Montreal,2017,Provincial,British Columbia,5221,Depository Credit Intermediation,Supervisors,Full-Time,1,1,,,,,,,,1,1,
Bank of Montreal,2017,Provincial,British Columbia,5221,Depository Credit Intermediation,Professionals,Part-Time,1,,1,,,,,,,,,
Bank of Montreal,2013,Provincial,Qu�bec,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,13,8,5,,,,,,,4,3,1
Bank of Montreal,2016,Provincial,Qu�bec,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,11,9,2,,,,1,,1,4,3,1
Bank of Montreal,2017,Provincial,British Columbia,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Part-Time,4,2,2,,,,,,,2,1,1
Bank of Montreal,2013,Provincial,Qu�bec,5221,Depository Credit Intermediation,Supervisors,Full-Time,8,5,3,,,,,,,1,1,
Bank of Montreal,2018,Provincial,Manitoba,5221,Depository Credit Intermediation,Professionals,Full-Time,6,5,1,2,1,1,,,,2,1,1
Bank of Montreal,2012,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,8,4,4,,,,,,,,,
Bank of Montreal,2011,National,Canada,,,Overall,Part-Time,1048,265,783,35,3,32,18,3,15,331,102,229
Bank of Montreal,2018,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,6,3,3,,,,,,,,,
Bank of Montreal,2018,Provincial,Alberta,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,Full-Time,43,15,28,,,,,,,16,6,10
Bank of Montreal,2019,Provincial,Ontario,5221,Depository Credit Intermediation,Supervisors,Full-Time,53,7,46,,,,2,,2,17,3,14
Bank of Montreal,2014,Provincial,Manitoba,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,4,2,2,,,,,,,,,
Bank of Montreal,2016,National,Canada,5221,Depository Credit Intermediation,Supervisors,Full-Time,513,235,278,4,2,2,6,3,3,273,124,149
Bank of Montreal,2018,Provincial,Qu�bec,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,35,17,18,,,,,,,9,5,4
Bank of Montreal,2019,Provincial,Ontario,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,680,217,463,8,1,7,18,6,12,219,89,130
Bank of Montreal,2019,Provincial,British Columbia,5221,Depository Credit Intermediation,Supervisors,Full-Time,5,2,3,,,,1,1,,2,1,1
Bank of Montreal,2010,Provincial,Qu�bec,,,Overall,Part-Time,216,69,147,1,,1,1,,1,59,20,39
Bank of Montreal,2012,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,24,7,17,1,1,,,,,3,,3
Bank of Montreal,2012,Provincial,Manitoba,,,Overall,Full-Time,27,16,11,2,1,1,1,,1,3,2,1
Bank of Montreal,2017,Provincial,New Brunswick,5221,Depository Credit Intermediation,Professionals,Full-Time,3,,3,,,,,,,,,
Bank of Montreal,2015,Provincial,Ontario,5221,Depository Credit Intermediation,Semi-Skilled Manual Workers,Full-Time,1,1,,,,,,,,,,
Bank of Montreal,2018,National,Canada,5221,Depository Credit Intermediation,Professionals,Part-Time,6,2,4,,,,,,,3,2,1
Bank of Montreal,2016,National,Canada,5221,Depository Credit Intermediation,Skilled Crafts and Trades Workers,Full-Time,1,1,,,,,,,,,,
Bank of Montreal,2016,Provincial,Ontario,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Full-Time,47,33,14,,,,,,,11,8,3
Bank of Montreal,2017,Provincial,Ontario,5221,Depository Credit Intermediation,Professionals,Full-Time,874,544,330,4,2,2,13,6,7,433,272,161
Bank of Montreal,2011,Provincial,Ontario,5221,Depository Credit Intermediation,Other Sales and Service Personnel,Full-Time,3,3,,,,,,,,1,1,
Bank of Montreal,2011,Provincial,Ontario,5221,Depository Credit Intermediation,Professionals,Part-Time,1,,1,,,,,,,,,
Bank of Montreal,2013,Provincial,Ontario,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,319,188,131,3,1,2,5,2,3,113,67,46
Bank of Montreal,2014,Provincial,Ontario,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,498,165,333,14,5,9,21,11,10,100,46,54
Bank of Montreal,2016,Provincial,New Brunswick,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,1,1,,,,,,,,,,
Bank of Montreal,2017,National,Canada,,,Overall,Full-Time,3019,1666,1353,37,21,16,64,32,32,1387,811,576
Bank of Montreal,2017,Provincial,Ontario,5221,Depository Credit Intermediation,Professionals,Part-Time,8,4,4,,,,,,,2,1,1
Bank of Montreal,2017,Provincial,New Brunswick,,,Overall,Full-Time,4,1,3,,,,,,,,,
