EMPLOYERNAME,CALENDARYEAR,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,EMPLOYMENTSTATUS,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT
Bank of Montreal,2018,Provincial,Manitoba,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,3,,3,,,,,,,,,
Bank of Montreal,2019,Provincial,British Columbia,,,Overall,Part-Time,129,28,101,7,1,6,9,1,8,40,10,30
Bank of Montreal,2019,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,91,41,50,2,1,1,7,,7,33,19,14
Bank of Montreal,2010,Provincial,Ontario,5221,Depository Credit Intermediation,Clerical Personnel,Part-Time,168,33,135,3,,3,5,,5,49,18,31
Bank of Montreal,2017,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Middle and Other Managers,Full-Time,7,1,6,2,1,1,,,,,,
Bank of Montreal,2018,Provincial,Ontario,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,Part-Time,1,,1,,,,,,,,,
Bank of Montreal,2012,Provincial,Ontario,,,Overall,Full-Time,1546,756,790,22,7,15,45,19,26,684,357,327
Bank of Montreal,2012,Provincial,British Columbia,5221,Depository Credit Intermediation,Clerical Personnel,Full-Time,47,15,32,,,,2,,2,17,5,12
Bank of Montreal,2015,Provincial,Alberta,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Full-Time,67,12,55,1,,1,1,,1,21,8,13
Bank of Montreal,2015,Provincial,Alberta,5221,Depository Credit Intermediation,Professionals,Part-Time,1,1,,,,,,,,,,
Bank of Montreal,2016,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,Part-Time,18,5,13,1,1,,,,,4,1,3
Bank of Montreal,2013,Provincial,Ontario,5221,Depository Credit Intermediation,Other Manual Workers,Full-Time,1,,1,,,,,,,,,
Bank of Montreal,2014,Provincial,Ontario,5221,Depository Credit Intermediation,Supervisors,Full-Time,19,8,11,1,,1,,,,9,6,3
Bank of Montreal,2014,Provincial,Ontario,5221,Depository Credit Intermediation,Semi-Skilled Manual Workers,Full-Time,1,1,,,,,1,1,,,,
