EMPLOYERNAME,CALENDARYEAR,EMPLOYMENTSTATUS,GEOGRAPHY,LOCATION,NAICSID,NAICSCLASSTITLE,OCCGROUP,QUARTERID,ALLCOUNT,ALLMENCOUNT,ALLWOMENCOUNT,ABORIGALLCOUNT,ABORIGMENCOUNT,ABORIGWOMENCOUNT,PWDALLCOUNT,PWDMENCOUNT,PWDWOMENCOUNT,VISMINALLCOUNT,VISMINMENCOUNT,VISMINWOMENCOUNT,SALARYRANGEBOTTOM($),SALARYRANGETOP($)
Bank of Montreal,2013,Full-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Senior Managers,2,1,1,,,,,,,,1,1,,"$100,000 and over","$100,000 and over"
Bank of Montreal,2013,Full-Time,CMA,Calgary,5221,Depository Credit Intermediation,Supervisors,1,1,,1,,,,,,,,,,"$ 40,000 - $44,999","$ 80,000 - $84,999"
Bank of Montreal,2013,Full-Time,CMA,Halifax,5221,Depository Credit Intermediation,Senior Managers,1,1,,1,,,,,,,,,,"$100,000 and over","$100,000 and over"
Bank of Montreal,2013,Part-Time,Provincial,New Brunswick,5221,Depository Credit Intermediation,Clerical Personnel,4,12,4,8,,,,2,,2,1,1,,"$  5,000 - $ 9,999","$ 30,000 - $34,999"
Bank of Montreal,2013,Part-Time,Provincial,Manitoba,5221,Depository Credit Intermediation,Clerical Personnel,4,2,,2,,,,,,,2,,2,"$ 10,000 - $14,999","$ 30,000 - $34,999"
Bank of Montreal,2013,Part-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Clerical Personnel,4,11,,11,,,,,,,3,,3,"Under $5,000","$ 40,000 - $44,999"
Bank of Montreal,2013,Part-Time,CMA,Edmonton,,,Overall,,115,10,105,,,,1,,1,30,3,27,,
Bank of Montreal,2013,Part-Time,CMA,Halifax,5221,Depository Credit Intermediation,Middle and Other Managers,4,,,,,,,,,,,,,"$ 35,000 - $39,999","$ 35,000 - $39,999"
Bank of Montreal,2012,Full-Time,National,Canada,5221,Depository Credit Intermediation,Middle and Other Managers,4,3,3,,,,,,,,1,1,,"$ 30,000 - $34,999","$100,000 and over"
Bank of Montreal,2012,Full-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Senior Managers,3,,,,,,,,,,,,,"$100,000 and over","$100,000 and over"
Bank of Montreal,2012,Full-Time,Provincial,Manitoba,5221,Depository Credit Intermediation,Professionals,4,1,1,,,,,,,,,,,"$ 40,000 - $44,999","$100,000 and over"
Bank of Montreal,2012,Full-Time,Provincial,Alberta,5221,Depository Credit Intermediation,Middle and Other Managers,3,7,6,1,,,,2,2,,,,,"$ 30,000 - $34,999","$100,000 and over"
Bank of Montreal,2012,Full-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Clerical Personnel,2,87,15,72,1,,1,2,2,,52,10,42,"$ 20,000 - $24,999","$ 55,000 - $59,999"
Bank of Montreal,2012,Part-Time,Provincial,Manitoba,5221,Depository Credit Intermediation,Professionals,4,,,,,,,,,,,,,"$ 90,000 - $94,999","$ 90,000 - $94,999"
Bank of Montreal,2012,Part-Time,CMA,Edmonton,5221,Depository Credit Intermediation,Middle and Other Managers,2,1,,1,,,,,,,,,,"$  5,000 - $ 9,999","$ 55,000 - $59,999"
Bank of Montreal,2012,Part-Time,CMA,Halifax,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,1,1,,1,,,,,,,,,,"$ 15,000 - $19,999","$ 20,000 - $24,999"
Bank of Montreal,2011,Full-Time,CMA,Halifax,5221,Depository Credit Intermediation,Middle and Other Managers,3,3,3,,,,,,,,,,,"$ 55,000 - $59,999","$100,000 and over"
Bank of Montreal,2011,Full-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Middle and Other Managers,4,6,6,,,,,,,,,,,"$ 45,000 - $49,999","$100,000 and over"
Bank of Montreal,2011,Part-Time,National,Canada,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,4,,,,,,,,,,,,,"$ 55,000 - $59,999","$ 55,000 - $59,999"
Bank of Montreal,2019,Full-Time,National,Canada,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,3,,,,,,,,,,,,,"$ 50,000 - $54,999","$ 60,000 - $64,999"
Bank of Montreal,2019,Full-Time,CMA,Winnipeg,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,3,1,,1,,,,,,,1,,1,"$ 30,000 - $34,999","$ 60,000 - $64,999"
Bank of Montreal,2019,Part-Time,Provincial,Alberta,,,Overall,,358,60,298,14,,14,13,2,11,111,22,89,,
Bank of Montreal,2019,Part-Time,CMA,Edmonton,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,4,9,,9,,,,,,,1,,1,"$  5,000 - $ 9,999","$ 40,000 - $44,999"
Bank of Montreal,2019,Part-Time,CMA,Halifax,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,2,12,2,10,,,,1,1,,4,,4,"$  5,000 - $ 9,999","$ 30,000 - $34,999"
Bank of Montreal,2018,Full-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Clerical Personnel,4,4,2,2,,,,,,,1,1,,"Under $5,000","$ 95,000 - $99,999"
Bank of Montreal,2018,Full-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,1,10,3,7,,,,,,,6,2,4,"Under $5,000","$ 70,000 - $74,999"
Bank of Montreal,2018,Full-Time,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,2,,,,,,,,,,,,,"$ 30,000 - $34,999","$ 40,000 - $44,999"
Bank of Montreal,2018,Full-Time,CMA,Calgary,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,2,,,,,,,,,,,,,"$ 70,000 - $74,999","$ 70,000 - $74,999"
Bank of Montreal,2018,Full-Time,CMA,Halifax,5221,Depository Credit Intermediation,Senior Managers,2,,,,,,,,,,,,,"$100,000 and over","$100,000 and over"
Bank of Montreal,2018,Part-Time,Provincial,Ontario,5221,Depository Credit Intermediation,Professionals,1,15,1,14,,,,1,,1,6,,6,"$ 15,000 - $19,999","$100,000 and over"
Bank of Montreal,2016,Full-Time,National,Canada,5221,Depository Credit Intermediation,Senior Managers,4,2,2,,,,,,,,,,,"$ 80,000 - $84,999","$100,000 and over"
Bank of Montreal,2016,Full-Time,National,Canada,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,2,40,19,21,,,,,,,26,10,16,"Under $5,000","$100,000 and over"
Bank of Montreal,2016,Full-Time,Provincial,Ontario,5221,Depository Credit Intermediation,Semi-Professionals and Technicians,2,13,8,5,,,,1,1,,6,5,1,"$ 45,000 - $49,999","$100,000 and over"
Bank of Montreal,2016,Full-Time,Provincial,Saskatchewan,5221,Depository Credit Intermediation,Professionals,1,47,28,19,,,,1,1,,11,9,2,"$ 25,000 - $29,999","$100,000 and over"
Bank of Montreal,2016,Full-Time,CMA,Edmonton,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,1,10,1,9,,,,1,,1,3,1,2,"$ 30,000 - $34,999","$ 50,000 - $54,999"
Bank of Montreal,2016,Full-Time,CMA,Vancouver,5221,Depository Credit Intermediation,Skilled Sales and Service Personnel,1,54,26,28,,,,1,,1,38,20,18,"Under $5,000","$100,000 and over"
Bank of Montreal,2016,Part-Time,CMA,Calgary,5221,Depository Credit Intermediation,Middle and Other Managers,4,5,2,3,,,,1,1,,1,,1,"$ 25,000 - $29,999","$ 65,000 - $69,999"
Bank of Montreal,2016,Part-Time,CMA,Edmonton,5221,Depository Credit Intermediation,Intermediate Sales and Service Personnel,1,39,12,27,,,,,,,21,4,17,"Under $5,000","$ 30,000 - $34,999"
Bank of Montreal,2010,Full-Time,CMA,Regina,5221,Depository Credit Intermediation,Middle and Other Managers,2,1,,1,,,,,,,,,,"$ 65,000 - $69,999","$100,000 and over"
Bank of Montreal,2010,Part-Time,CMA,Regina,5221,Depository Credit Intermediation,Clerical Personnel,4,5,1,4,,,,,,,1,1,,"$  5,000 - $ 9,999","$ 20,000 - $24,999"
Bank of Montreal,2017,Full-Time,National,Canada,5221,Depository Credit Intermediation,Other Sales and Service Personnel,1,3,3,,,,,,,,2,2,,"$ 40,000 - $44,999","$100,000 and over"
Bank of Montreal,2017,Full-Time,Provincial,Qu�bec,5221,Depository Credit Intermediation,Supervisors,4,10,6,4,,,,,,,2,2,,"$ 10,000 - $14,999","$100,000 and over"
Bank of Montreal,2017,Full-Time,CMA,Winnipeg,5221,Depository Credit Intermediation,Professionals,1,36,21,15,4,3,1,4,,4,3,3,,"$ 40,000 - $44,999","$100,000 and over"
Bank of Montreal,2017,Part-Time,CMA,Edmonton,,,Overall,,110,18,92,3,,3,4,1,3,45,7,38,,
Bank of Montreal,2017,Part-Time,CMA,Toronto,5221,Depository Credit Intermediation,Supervisors,2,1,1,,,,,,,,1,1,,"$ 15,000 - $19,999","$ 35,000 - $39,999"
Bank of Montreal,2017,Part-Time,CMA,Winnipeg,5221,Depository Credit Intermediation,Middle and Other Managers,1,1,,1,,,,,,,,,,"$ 50,000 - $54,999","$ 50,000 - $54,999"
Bank of Montreal,2013,Full-Time,Provincial,Newfoundland and Labrador,5221,Depository Credit Intermediation,Senior Managers,3,,,,,,,,,,,,,"$100,000 and over","$100,000 and over"
Bank of Montreal,2013,Full-Time,CMA,Halifax,5221,Depository Credit Intermediation,Middle and Other Managers,3,2,2,,,,,,,,,,,"$ 35,000 - $39,999","$100,000 and over"
Bank of Montreal,2012,Full-Time,Provincial,Nova Scotia,5221,Depository Credit Intermediation,Professionals,4,3,1,2,,,,,,,,,,"$ 40,000 - $44,999","$100,000 and over"
Bank of Montreal,2012,Full-Time,CMA,Calgary,5221,Depository Credit Intermediation,Administrative and Senior Clerical Personnel,4,2,1,1,,,,,,,2,1,1,"$ 15,000 - $19,999","$100,000 and over"
Bank of Montreal,2012,Full-Time,CMA,Halifax,5221,Depository Credit Intermediation,Middle and Other Managers,1,79,35,44,2,,2,4,3,1,4,2,2,"$ 30,000 - $34,999","$100,000 and over"
Bank of Montreal,2012,Full-Time,CMA,Toronto,5221,Depository Credit Intermediation,Skilled Crafts and Trades Workers,3,,,,,,,,,,,,,"$ 75,000 - $79,999","$ 85,000 - $89,999"
Bank of Montreal,2012,Part-Time,CMA,Montr�al,5221,Depository Credit Intermediation,Middle and Other Managers,4,7,1,6,,,,,,,,,,"$  5,000 - $ 9,999","$ 60,000 - $64,999"
